suite,scenario,scenario_file,seed,mode,planner,heuristic_weight,allocator,coordination_variant,makespan,total_path_length,avg_task_completion_time,wait_count,collision_count,replanning_count,general_replanning_count,micro_replanning_count,completed_tasks,total_tasks,task_completion_times,throughput,fairness_task_std,fairness_task_cv,tasks_completed_per_robot,congestion_heatmap,planner_expanded_nodes_total,planner_time_ms_total,planner_path_cost_total,delay_event_count,dynamic_block_replans
main,high_load_6r_30t,high_load_6r_30t.json,29,baseline_priority,astar,1.0,greedy,priority_static,146,798,73.033,78,0,876,876,0,30,30,"{'T1': 25, 'T10': 37, 'T11': 45, 'T12': 50, 'T13': 60, 'T14': 75, 'T15': 73, 'T16': 80, 'T17': 73, 'T18': 88, 'T19': 94, 'T2': 31, 'T20': 104, 'T21': 88, 'T22': 92, 'T23': 97, 'T24': 114, 'T25': 118, 'T26': 134, 'T27': 112, 'T28': 116, 'T29': 114, 'T3': 13, 'T30': 131, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 51, 'T8': 60, 'T9': 55}",0.2055,0.5774,0.1155,"{'R1': 5, 'R2': 6, 'R3': 5, 'R4': 5, 'R5': 4, 'R6': 5}","{'0,0': 2, '1,0': 4, '2,0': 4, '3,0': 4, '4,0': 4, '5,0': 5, '6,0': 5, '7,0': 5, '8,0': 5, '9,0': 5, '10,0': 5, '11,0': 6, '12,0': 4, '13,0': 4, '14,0': 3, '15,0': 2, '0,1': 2, '1,1': 3, '2,1': 4, '3,1': 4, '5,1': 1, '11,1': 3, '13,1': 3, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 4, '3,2': 8, '4,2': 8, '5,2': 8, '6,2': 7, '7,2': 7, '8,2': 7, '9,2': 7, '10,2': 6, '11,2': 10, '12,2': 6, '13,2': 7, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 2, '9,3': 1, '11,3': 5, '13,3': 5, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 2, '9,4': 1, '11,4': 5, '13,4': 5, '14,4': 4, '15,4': 3, '0,5': 6, '1,5': 5, '2,5': 5, '3,5': 7, '4,5': 7, '5,5': 8, '6,5': 7, '7,5': 7, '8,5': 7, '9,5': 9, '10,5': 9, '11,5': 33, '12,5': 9, '13,5': 26, '14,5': 6, '15,5': 5, '0,6': 6, '1,6': 23, '5,6': 2, '7,6': 2, '9,6': 1, '11,6': 8, '13,6': 4, '14,6': 4, '15,6': 5, '0,7': 8, '1,7': 10, '2,7': 7, '3,7': 13, '4,7': 13, '5,7': 15, '6,7': 12, '7,7': 14, '8,7': 12, '9,7': 13, '10,7': 12, '11,7': 13, '12,7': 6, '13,7': 10, '14,7': 8, '15,7': 5, '0,8': 9, '1,8': 27, '2,8': 11, '3,8': 10, '5,8': 2, '7,8': 1, '9,8': 1, '11,8': 1, '13,8': 9, '14,8': 7, '15,8': 3, '0,9': 9, '1,9': 9, '2,9': 10, '3,9': 12, '4,9': 12, '5,9': 14, '6,9': 12, '7,9': 12, '8,9': 12, '9,9': 14, '10,9': 12, '11,9': 12, '12,9': 12, '13,9': 12, '14,9': 5, '15,9': 2}",14090,199.567,6609,0,0
main,high_load_6r_30t,high_load_6r_30t.json,29,coordinated,astar,1.0,greedy,full,145,788,71.867,82,0,870,870,0,30,30,"{'T1': 25, 'T10': 37, 'T11': 45, 'T12': 50, 'T13': 61, 'T14': 75, 'T15': 67, 'T16': 73, 'T17': 80, 'T18': 78, 'T19': 86, 'T2': 31, 'T20': 98, 'T21': 92, 'T22': 101, 'T23': 98, 'T24': 92, 'T25': 119, 'T26': 117, 'T27': 101, 'T28': 124, 'T29': 122, 'T3': 13, 'T30': 131, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 59, 'T8': 65, 'T9': 55}",0.2069,0.5774,0.1155,"{'R1': 5, 'R2': 5, 'R3': 6, 'R4': 5, 'R5': 4, 'R6': 5}","{'0,0': 2, '1,0': 4, '2,0': 4, '3,0': 7, '4,0': 8, '5,0': 8, '6,0': 5, '7,0': 5, '8,0': 5, '9,0': 5, '10,0': 4, '11,0': 5, '12,0': 3, '13,0': 3, '14,0': 3, '15,0': 2, '0,1': 2, '1,1': 4, '2,1': 5, '3,1': 4, '5,1': 1, '9,1': 1, '11,1': 4, '13,1': 2, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 3, '3,2': 5, '4,2': 5, '5,2': 5, '6,2': 5, '7,2': 5, '8,2': 5, '9,2': 6, '10,2': 6, '11,2': 11, '12,2': 4, '13,2': 5, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 2, '11,3': 7, '13,3': 4, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 2, '11,4': 8, '13,4': 5, '14,4': 4, '15,4': 3, '0,5': 6, '1,5': 4, '2,5': 5, '3,5': 8, '4,5': 8, '5,5': 9, '6,5': 8, '7,5': 8, '8,5': 8, '9,5': 10, '10,5': 22, '11,5': 20, '12,5': 11, '13,5': 20, '14,5': 6, '15,5': 4, '0,6': 6, '1,6': 2, '5,6': 3, '9,6': 2, '11,6': 36, '13,6': 6, '14,6': 5, '15,6': 4, '0,7': 23, '1,7': 7, '2,7': 5, '3,7': 12, '4,7': 12, '5,7': 15, '6,7': 12, '7,7': 12, '8,7': 11, '9,7': 14, '10,7': 12, '11,7': 16, '12,7': 6, '13,7': 11, '14,7': 9, '15,7': 5, '0,8': 9, '1,8': 17, '2,8': 10, '3,8': 8, '5,8': 1, '7,8': 1, '9,8': 1, '13,8': 8, '14,8': 7, '15,8': 3, '0,9': 10, '1,9': 12, '2,9': 12, '3,9': 11, '4,9': 11, '5,9': 13, '6,9': 11, '7,9': 11, '8,9': 11, '9,9': 13, '10,9': 11, '11,9': 11, '12,9': 12, '13,9': 12, '14,9': 6, '15,9': 2}",13453,192.292,6413,0,0
allocator,bottleneck_shelves,bottleneck_shelves.json,23,coordinated,astar,1.0,greedy,full,36,137,23.25,43,0,182,180,2,8,8,"{'T1': 22, 'T2': 20, 'T3': 18, 'T4': 19, 'T5': 18, 'T6': 33, 'T7': 32, 'T8': 24}",0.2222,0.4899,0.3062,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 2}","{'2,0': 2, '3,0': 2, '4,0': 2, '5,0': 2, '6,0': 3, '7,0': 2, '8,0': 2, '9,0': 2, '10,0': 2, '11,0': 2, '12,0': 2, '0,1': 1, '1,1': 2, '2,1': 3, '6,1': 1, '12,1': 16, '13,1': 1, '0,2': 1, '2,2': 1, '4,2': 1, '6,2': 1, '8,2': 3, '12,2': 1, '13,2': 1, '0,3': 1, '2,3': 5, '3,3': 5, '4,3': 6, '5,3': 5, '6,3': 8, '7,3': 6, '8,3': 9, '9,3': 5, '10,3': 5, '11,3': 4, '12,3': 5, '13,3': 1, '0,4': 1, '2,4': 1, '6,4': 1, '12,4': 4, '13,4': 1, '0,5': 1, '1,5': 18, '2,5': 3, '6,5': 1, '12,5': 3, '13,5': 1, '0,6': 1, '2,6': 2, '6,6': 1, '12,6': 2, '13,6': 1, '2,7': 2, '3,7': 1, '4,7': 1, '5,7': 1, '6,7': 3, '7,7': 1, '8,7': 1, '9,7': 1, '10,7': 2, '11,7': 2, '12,7': 2}",1634,23.078,800,0,0
allocator,bottleneck_shelves,bottleneck_shelves.json,23,coordinated,astar,1.0,hungarian,full,33,125,21.375,40,0,165,165,0,8,8,"{'T1': 22, 'T2': 20, 'T3': 18, 'T4': 19, 'T5': 18, 'T6': 26, 'T7': 29, 'T8': 19}",0.2424,0.4899,0.3062,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 2}","{'2,0': 2, '3,0': 2, '4,0': 2, '5,0': 2, '6,0': 3, '7,0': 2, '8,0': 2, '9,0': 2, '10,0': 2, '11,0': 2, '12,0': 2, '0,1': 1, '1,1': 2, '2,1': 3, '6,1': 1, '12,1': 13, '13,1': 1, '0,2': 1, '2,2': 1, '4,2': 2, '8,2': 3, '13,2': 1, '0,3': 1, '2,3': 9, '3,3': 5, '4,3': 7, '5,3': 5, '6,3': 5, '7,3': 4, '8,3': 10, '9,3': 5, '10,3': 4, '11,3': 2, '12,3': 2, '13,3': 1, '0,4': 1, '2,4': 1, '6,4': 1, '12,4': 2, '13,4': 1, '0,5': 1, '1,5': 15, '2,5': 3, '6,5': 1, '12,5': 2, '13,5': 1, '0,6': 1, '2,6': 2, '6,6': 1, '12,6': 2, '13,6': 1, '2,7': 2, '3,7': 1, '4,7': 1, '5,7': 1, '6,7': 3, '7,7': 1, '8,7': 1, '9,7': 1, '10,7': 2, '11,7': 2, '12,7': 2}",1651,22.79,757,0,0
allocator,high_load_6r_30t,high_load_6r_30t.json,29,coordinated,astar,1.0,greedy,full,145,788,71.867,82,0,870,870,0,30,30,"{'T1': 25, 'T10': 37, 'T11': 45, 'T12': 50, 'T13': 61, 'T14': 75, 'T15': 67, 'T16': 73, 'T17': 80, 'T18': 78, 'T19': 86, 'T2': 31, 'T20': 98, 'T21': 92, 'T22': 101, 'T23': 98, 'T24': 92, 'T25': 119, 'T26': 117, 'T27': 101, 'T28': 124, 'T29': 122, 'T3': 13, 'T30': 131, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 59, 'T8': 65, 'T9': 55}",0.2069,0.5774,0.1155,"{'R1': 5, 'R2': 5, 'R3': 6, 'R4': 5, 'R5': 4, 'R6': 5}","{'0,0': 2, '1,0': 4, '2,0': 4, '3,0': 7, '4,0': 8, '5,0': 8, '6,0': 5, '7,0': 5, '8,0': 5, '9,0': 5, '10,0': 4, '11,0': 5, '12,0': 3, '13,0': 3, '14,0': 3, '15,0': 2, '0,1': 2, '1,1': 4, '2,1': 5, '3,1': 4, '5,1': 1, '9,1': 1, '11,1': 4, '13,1': 2, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 3, '3,2': 5, '4,2': 5, '5,2': 5, '6,2': 5, '7,2': 5, '8,2': 5, '9,2': 6, '10,2': 6, '11,2': 11, '12,2': 4, '13,2': 5, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 2, '11,3': 7, '13,3': 4, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 2, '11,4': 8, '13,4': 5, '14,4': 4, '15,4': 3, '0,5': 6, '1,5': 4, '2,5': 5, '3,5': 8, '4,5': 8, '5,5': 9, '6,5': 8, '7,5': 8, '8,5': 8, '9,5': 10, '10,5': 22, '11,5': 20, '12,5': 11, '13,5': 20, '14,5': 6, '15,5': 4, '0,6': 6, '1,6': 2, '5,6': 3, '9,6': 2, '11,6': 36, '13,6': 6, '14,6': 5, '15,6': 4, '0,7': 23, '1,7': 7, '2,7': 5, '3,7': 12, '4,7': 12, '5,7': 15, '6,7': 12, '7,7': 12, '8,7': 11, '9,7': 14, '10,7': 12, '11,7': 16, '12,7': 6, '13,7': 11, '14,7': 9, '15,7': 5, '0,8': 9, '1,8': 17, '2,8': 10, '3,8': 8, '5,8': 1, '7,8': 1, '9,8': 1, '13,8': 8, '14,8': 7, '15,8': 3, '0,9': 10, '1,9': 12, '2,9': 12, '3,9': 11, '4,9': 11, '5,9': 13, '6,9': 11, '7,9': 11, '8,9': 11, '9,9': 13, '10,9': 11, '11,9': 11, '12,9': 12, '13,9': 12, '14,9': 6, '15,9': 2}",13453,196.821,6413,0,0
allocator,high_load_6r_30t,high_load_6r_30t.json,29,coordinated,astar,1.0,hungarian,full,117,635,52.933,67,0,702,702,0,30,30,"{'T1': 25, 'T10': 76, 'T11': 79, 'T12': 23, 'T13': 64, 'T14': 69, 'T15': 27, 'T16': 51, 'T17': 46, 'T18': 29, 'T19': 93, 'T2': 31, 'T20': 101, 'T21': 34, 'T22': 81, 'T23': 96, 'T24': 36, 'T25': 69, 'T26': 69, 'T27': 26, 'T28': 50, 'T29': 45, 'T3': 13, 'T30': 28, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 108, 'T8': 114, 'T9': 44}",0.2564,0.5774,0.1155,"{'R1': 5, 'R2': 6, 'R3': 5, 'R4': 5, 'R5': 5, 'R6': 4}","{'0,0': 2, '1,0': 2, '2,0': 2, '3,0': 2, '4,0': 2, '5,0': 2, '6,0': 2, '7,0': 2, '8,0': 2, '9,0': 2, '10,0': 2, '11,0': 3, '12,0': 2, '13,0': 3, '14,0': 3, '15,0': 2, '0,1': 3, '1,1': 3, '2,1': 3, '3,1': 3, '11,1': 2, '13,1': 3, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 2, '3,2': 5, '4,2': 5, '5,2': 5, '6,2': 5, '7,2': 5, '8,2': 5, '9,2': 5, '10,2': 5, '11,2': 7, '12,2': 3, '13,2': 6, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 3, '11,3': 4, '13,3': 6, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 3, '11,4': 5, '13,4': 6, '14,4': 4, '15,4': 3, '0,5': 8, '1,5': 7, '2,5': 5, '3,5': 6, '4,5': 6, '5,5': 6, '6,5': 5, '7,5': 5, '8,5': 5, '9,5': 6, '10,5': 19, '11,5': 13, '12,5': 6, '13,5': 9, '14,5': 7, '15,5': 5, '0,6': 8, '1,6': 9, '3,6': 1, '5,6': 1, '9,6': 1, '11,6': 5, '13,6': 3, '14,6': 5, '15,6': 5, '0,7': 8, '1,7': 7, '2,7': 3, '3,7': 11, '4,7': 10, '5,7': 11, '6,7': 9, '7,7': 9, '8,7': 9, '9,7': 11, '10,7': 9, '11,7': 20, '12,7': 5, '13,7': 8, '14,7': 8, '15,7': 5, '0,8': 8, '1,8': 8, '2,8': 8, '3,8': 7, '5,8': 3, '9,8': 2, '13,8': 7, '14,8': 13, '15,8': 3, '0,9': 34, '1,9': 8, '2,9': 9, '3,9': 9, '4,9': 9, '5,9': 11, '6,9': 9, '7,9': 9, '8,9': 9, '9,9': 11, '10,9': 9, '11,9': 9, '12,9': 10, '13,9': 10, '14,9': 5, '15,9': 2}",10361,156.032,4909,0,0
allocator,stochastic_delay,stochastic_delay.json,37,coordinated,astar,1.0,greedy,full,45,129,24.875,96,0,227,225,2,8,8,"{'T1': 22, 'T2': 21, 'T3': 14, 'T4': 13, 'T5': 18, 'T6': 43, 'T7': 32, 'T8': 36}",0.1778,0.4899,0.3062,"{'R1': 1, 'R2': 1, 'R3': 2, 'R4': 2, 'R5': 2}","{'5,0': 1, '6,0': 1, '7,0': 1, '8,0': 1, '9,0': 17, '10,0': 3, '0,1': 1, '1,1': 3, '2,1': 3, '3,1': 4, '4,1': 3, '5,1': 4, '6,1': 5, '7,1': 2, '8,1': 3, '9,1': 10, '10,1': 26, '11,1': 1, '0,2': 1, '9,2': 4, '10,2': 2, '11,2': 2, '0,3': 1, '1,3': 1, '2,3': 10, '3,3': 4, '4,3': 5, '5,3': 6, '6,3': 6, '7,3': 4, '8,3': 5, '9,3': 15, '10,3': 5, '11,3': 2, '0,4': 1, '1,4': 1, '5,4': 1, '9,4': 1, '10,4': 3, '11,4': 1, '0,5': 1, '1,5': 1, '5,5': 2, '6,5': 1, '7,5': 1, '8,5': 1, '9,5': 3, '10,5': 5, '11,5': 1, '0,6': 1, '1,6': 4, '2,6': 4, '3,6': 3, '4,6': 4, '5,6': 4, '6,6': 3, '7,6': 2, '8,6': 3, '9,6': 3, '10,6': 3, '11,6': 1, '2,7': 1, '5,7': 2, '8,7': 1}",1789,26.274,845,47,0
allocator,stochastic_delay,stochastic_delay.json,37,coordinated,astar,1.0,hungarian,full,37,112,22.5,73,0,187,185,2,8,8,"{'T1': 20, 'T2': 23, 'T3': 14, 'T4': 13, 'T5': 18, 'T6': 32, 'T7': 33, 'T8': 27}",0.2162,0.4899,0.3062,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 2, 'R5': 1}","{'2,0': 1, '5,0': 1, '6,0': 1, '7,0': 1, '8,0': 1, '9,0': 1, '10,0': 1, '0,1': 1, '1,1': 18, '2,1': 4, '3,1': 4, '4,1': 3, '5,1': 6, '6,1': 6, '7,1': 4, '8,1': 2, '9,1': 3, '10,1': 19, '11,1': 1, '0,2': 1, '1,2': 2, '9,2': 1, '11,2': 2, '0,3': 1, '1,3': 1, '2,3': 9, '3,3': 3, '4,3': 3, '5,3': 9, '6,3': 2, '7,3': 3, '8,3': 1, '9,3': 3, '11,3': 2, '0,4': 1, '1,4': 1, '5,4': 1, '7,4': 1, '9,4': 2, '11,4': 1, '0,5': 1, '1,5': 1, '5,5': 2, '6,5': 1, '7,5': 3, '8,5': 2, '9,5': 3, '10,5': 2, '11,5': 1, '0,6': 1, '1,6': 7, '2,6': 4, '3,6': 3, '4,6': 3, '5,6': 4, '6,6': 3, '7,6': 2, '8,6': 3, '9,6': 4, '10,6': 2, '11,6': 1, '2,7': 1, '5,7': 2, '8,7': 1}",1553,16.696,712,38,0
planner,narrow_corridor_swap,narrow_corridor_swap.json,17,coordinated,astar,1.0,hungarian,full,11,23,7.667,10,0,33,33,0,3,3,"{'T1': 11, 'T2': 9, 'T3': 3}",0.2727,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1}","{'4,1': 2, '5,1': 2, '0,2': 3, '1,2': 2, '2,2': 2, '3,2': 2, '4,2': 2, '5,2': 3, '6,2': 2, '7,2': 2, '8,2': 2, '9,2': 1, '5,3': 8}",192,2.763,117,0,0
planner,narrow_corridor_swap,narrow_corridor_swap.json,17,coordinated,dijkstra,1.0,hungarian,full,11,23,7.667,10,0,33,33,0,3,3,"{'T1': 11, 'T2': 9, 'T3': 3}",0.2727,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1}","{'4,1': 2, '5,1': 2, '0,2': 3, '1,2': 2, '2,2': 2, '3,2': 2, '4,2': 2, '5,2': 3, '6,2': 2, '7,2': 2, '8,2': 2, '9,2': 1, '5,3': 8}",942,13.434,117,0,0
